"char_id","char_name","char_bd","char_oc","char_img","char_status","char_nickname","char_appearance","char_portrayed","char_category","char_bcs_a"
"1","Walter White","09-07-1958","High School Chemistry Teacher,Meth King Pin,","https://images.amcnetworks.com/amc.com/wp-content/uploads/2015/04/cast_bb_700x1000_walter-white-lg.jpg","Presumed dead","Heisenberg","1,2,3,4,5,","Bryan Cranston","Breaking Bad","None"
"2","Jesse Pinkman","09-24-1984","Meth Dealer","https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Jesse_Pinkman2.jpg/220px-Jesse_Pinkman2.jpg","Alive","Cap n' Cook","1,2,3,4,5,","Aaron Paul","Breaking Bad","None"
"3","Skyler White","08-11-1970","House wife,Book Keeper,Car Wash Manager,Taxi Dispa","https://s-i.huffpost.com/gen/1317262/images/o-ANNA-GUNN-facebook.jpg","Alive","Sky","1,2,3,4,5,","Anna Gunn","Breaking Bad","None"
"4","Walter White Jr.","07-08-1993","Teenager","https://media1.popsugar-assets.com/files/thumbor/WeLUSvbAMS_GL4iELYAUzu7Bpv0/fit-in/1024x1024/filters:format_auto-!!-:strip_icc-!!-/2018/01/12/910/n/1","Alive","Flynn","1,2,3,4,5,","RJ Mitte","Breaking Bad","None"
"5","Henry Schrader","Unknown","DEA Agent","https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Hank_Schrader2.jpg/220px-Hank_Schrader2.jpg","Deceased","Hank","1,2,3,4,5,","Dean Norris","Breaking Bad","None"
"6","Marie Schrader","Unknown","Housewife,Clepto,","https://vignette.wikia.nocookie.net/breakingbad/images/1/10/Season_2_-_Marie.jpg/revision/latest?cb=20120617211645","Alive","Marie","1,2,3,4,5,","Betsy Brandt","Breaking Bad","None"
"7","Mike Ehrmantraut","Unknown","Hitman,Private Investigator,Ex-Cop,","https://images.amcnetworks.com/amc.com/wp-content/uploads/2015/04/cast_bb_700x1000_mike-ehrmantraut-lg.jpg","Deceased","Mike","2,3,4,5,","Jonathan Banks","Breaking Bad, Better Call Saul","1,2,3,4,"
"8","Saul Goodman","Unknown","Lawyer","https://vignette.wikia.nocookie.net/breakingbad/images/1/16/Saul_Goodman.jpg/revision/latest?cb=20120704065846","Alive","Jimmy McGill","2,3,4,5,","Bob Odenkirk","Breaking Bad, Better Call Saul","1,2,3,4,"
"9","Gustavo Fring","Unknown","Los-Pollos co-Founder,Philanthropist,Cartel Leader","https://vignette.wikia.nocookie.net/breakingbad/images/1/1f/BCS_S4_Gustavo_Fring.jpg/revision/latest?cb=20180824195925","Deceased","Gus","2,3,4,","Giancarlo Esposito","Breaking Bad, Better Call Saul","3,4,"
"10","Hector Salamanca","Unknown","Former Senior Cartel Leader","https://vignette.wikia.nocookie.net/breakingbad/images/b/b4/Hector_BCS.jpg/revision/latest?cb=20170810091606","Deceased","Don Hector","1,2,3,4,","Mark Margolis","Breaking Bad, Better Call Saul","2,3,4,"
